id,title,description,availability,condition,price,link,image_link,brand
AUX-025-39CM-PARED-MARFIL,Auxiliadora 39cm pared marfil,"Auxiliadora, Marfil, 39cm, Marmolina",in stock,new,107800 COP,https://wa.me/message/,https://raw.githubusercontent.com/velezvash-dev/catalogo-dimco-pro-fotos/main/AUX-025-39CM-PARED-MARFIL.png,DIMCO PRO
AUX-026-CACHETONA-MARFIL,Auxiliadora cachetona marfil,"Auxiliadora, Marfil, 40cm, Marmolina",in stock,new,185000 COP,https://wa.me/message/,https://raw.githubusercontent.com/velezvash-dev/catalogo-dimco-pro-fotos/main/AUX-026-CACHETONA-MARFIL.png,DIMCO PRO
AUX-027-CACHETONA-COLOR,Auxiliadora cachetona color,"Auxiliadora, Color, 40cm, Marmolina",in stock,new,240000 COP,https://wa.me/message/,https://raw.githubusercontent.com/velezvash-dev/catalogo-dimco-pro-fotos/main/AUX-027-CACHETONA-COLOR.png,DIMCO PRO
AUX-028-50CM-MESA-MARFIL,Auxiliadora 50cm mesa marfil,"Auxiliadora, Marfil, 50cm, Marmolina",in stock,new,253000 COP,https://wa.me/message/,https://raw.githubusercontent.com/velezvash-dev/catalogo-dimco-pro-fotos/main/AUX-028-50CM-MESA-MARFIL.png,DIMCO PRO
AUX-030-50CM-PARED-MARFIL,Auxiliadora 50cm pared marfil,"Auxiliadora, Marfil, 50cm, Marmolina",in stock,new,170000 COP,https://wa.me/message/,https://raw.githubusercontent.com/velezvash-dev/catalogo-dimco-pro-fotos/main/AUX-030-50CM-PARED-MARFIL.png,DIMCO PRO
AUX-031-50CM-PARED-COLOR,Auxiliadora 50cm pared color,"Auxiliadora, Color, 50cm, Marmolina",in stock,new,198000 COP,https://wa.me/message/,https://raw.githubusercontent.com/velezvash-dev/catalogo-dimco-pro-fotos/main/AUX-031-50CM-PARED-COLOR.png,DIMCO PRO
AUX-032-60CM-BLANCO,Auxiliadora 60cm blanca,"Auxiliadora, Blanco, 60cm, Fibra de vidrio y ojos de cristal",in stock,new,520000 COP,https://wa.me/message/,https://raw.githubusercontent.com/velezvash-dev/catalogo-dimco-pro-fotos/main/AUX-032-60CM.png,DIMCO PRO
AUX-032-60CM-COLOR,Auxiliadora 60cm Color,"Auxiliadora, Color, 60cm, Fibra de vidrio y ojos de cristal",in stock,new,677000 COP,https://wa.me/message/,https://raw.githubusercontent.com/velezvash-dev/catalogo-dimco-pro-fotos/main/AUX-032-60CM.png,DIMCO PRO
AUX-033-70CM,Auxiliadora 70cm,"Auxiliadora, 70cm, Fibra de vidrio y ojos de cristal",in stock,new,740000 COP,https://wa.me/message/,https://raw.githubusercontent.com/velezvash-dev/catalogo-dimco-pro-fotos/main/AUX-033-70CM.png,DIMCO PRO
AUX-037-95CM,Auxiliadora 95cm,"Auxiliadora, 95cm, Fibra de vidrio y ojos de cristal",in stock,new,1314000 COP,https://wa.me/message/,https://raw.githubusercontent.com/velezvash-dev/catalogo-dimco-pro-fotos/main/AUX-037-95CM.png,DIMCO PRO
AUX-038-1-30CM,Auxiliadora 1.30cm,"Auxiliadora, 130cm, Fibra de vidrio y ojos de cristal",in stock,new,2605000 COP,https://wa.me/message/,https://raw.githubusercontent.com/velezvash-dev/catalogo-dimco-pro-fotos/main/AUX-038-1-30CM.png,DIMCO PRO
AUX-039-1-40CM,Auxiliadora 1.40cm,"Auxiliadora, 140cm, Fibra de vidrio y ojos de cristal",in stock,new,2955000 COP,https://wa.me/message/,https://raw.githubusercontent.com/velezvash-dev/catalogo-dimco-pro-fotos/main/AUX-039-1-40CM.png,DIMCO PRO
SJB-003-PEQUENO-MESA-BLANCO,San Juan Bosco pequeño mesa blanco,"San Juan Bosco, Blanco, 12cm, Marmolina",in stock,new,13000 COP,https://wa.me/message/,https://raw.githubusercontent.com/velezvash-dev/catalogo-dimco-pro-fotos/main/SJB-003-PEQUENO-MESA-BLANCO.jpg,DIMCO PRO
SJB-004-PEQUENO-MESA-METALIZADO,San Juan Bosco pequeño mesa metalizado,"San Juan Bosco, Metalizado, 12cm, Marmolina",in stock,new,15500 COP,https://wa.me/message/,https://raw.githubusercontent.com/velezvash-dev/catalogo-dimco-pro-fotos/main/SJB-004-PEQUENO-MESA-METALIZADO.jpg,DIMCO PRO
SJB-009-JOVENES-COLOR,San Juan Bosco jóvenes color,"San Juan Bosco, Color, 40cm, Marmolina",in stock,new,182500 COP,https://wa.me/message/,https://raw.githubusercontent.com/velezvash-dev/catalogo-dimco-pro-fotos/main/SJB-009-JOVENES-COLOR.jpg,DIMCO PRO
SJB-010-NINOS-METALIZADO,San Juan Bosco niños metalizado,"San Juan Bosco, Metalizado, 20cm, Marmolina",in stock,new,83500 COP,https://wa.me/message/,https://raw.githubusercontent.com/velezvash-dev/catalogo-dimco-pro-fotos/main/SJB-010-NINOS-METALIZADO.jpg,DIMCO PRO
SJB-012-CAMINANTE-COLOR,San Juan Bosco caminante color,"San Juan Bosco, Color, 24cm, Marmolina",in stock,new,55000 COP,https://wa.me/message/,https://raw.githubusercontent.com/velezvash-dev/catalogo-dimco-pro-fotos/main/SJB-012-CAMINANTE-COLOR.jpg,DIMCO PRO
SJB-015-40CM-COLOR,San Juan Bosco 40cm color,"San Juan Bosco, Color, 40cm, Marmolina",in stock,new,80000 COP,https://wa.me/message/,https://raw.githubusercontent.com/velezvash-dev/catalogo-dimco-pro-fotos/main/SJB-015-40CM-COLOR.jpg,DIMCO PRO
SJB-016-MAMA-MARGARITA-MARFIL,San Juan Bosco mama margarita marfil,"San Juan Bosco, Marfil, 38cm, Marmolina",in stock,new,170500 COP,https://wa.me/message/,https://raw.githubusercontent.com/velezvash-dev/catalogo-dimco-pro-fotos/main/SJB-016-MAMA-MARGARITA-MARFIL.jpg,DIMCO PRO
